accx,accy,accz
0.9567,-0.0283,0.3088
0.9567,-0.0279,0.3098
0.9562,-0.0283,0.3105
0.9562,-0.0288,0.3105
0.9562,-0.0286,0.3108
0.9565,-0.0279,0.3117
0.9567,-0.0279,0.3125
0.9557,-0.0281,0.3127
0.9552,-0.0283,0.313
0.955,-0.0281,0.3122
0.9545,-0.0274,0.3122
0.9538,-0.0274,0.3125
0.9535,-0.0279,0.3117
0.9528,-0.0286,0.3125
0.9528,-0.0291,0.3122
0.953,-0.0296,0.312
0.9528,-0.0291,0.3117
0.9518,-0.0288,0.3108
0.9511,-0.0296,0.31
0.9508,-0.03,0.3093
0.9508,-0.0303,0.3088
0.9508,-0.0298,0.3093
0.9504,-0.0296,0.3098
0.9506,-0.03,0.3098
0.9508,-0.03,0.3103
0.9506,-0.0303,0.3103
0.9501,-0.031,0.3098
0.9508,-0.0318,0.3098
0.9521,-0.032,0.3105
0.9513,-0.032,0.3108
0.9506,-0.0318,0.3103
0.9508,-0.0318,0.31
0.9511,-0.0315,0.31
0.9518,-0.0318,0.3112
0.9535,-0.032,0.311
0.9552,-0.0325,0.3108
0.9552,-0.0327,0.311
0.955,-0.0327,0.3117
0.956,-0.0327,0.3122
0.9565,-0.0325,0.3132
0.9565,-0.033,0.3137
0.9565,-0.033,0.3142
0.9567,-0.0325,0.3137
0.9572,-0.0322,0.3137
0.9569,-0.0313,0.3134
0.9562,-0.0305,0.3132
0.9562,-0.031,0.3127
0.956,-0.03,0.3132
0.9555,-0.0283,0.3137
0.955,-0.0274,0.3122
0.955,-0.0271,0.3112
0.9557,-0.0269,0.3108
0.956,-0.0264,0.3103
0.9547,-0.0257,0.31
0.955,-0.0254,0.3093
0.9555,-0.0252,0.3083
0.9552,-0.0244,0.3068
0.9547,-0.0242,0.3054
0.9545,-0.0247,0.3046
0.9545,-0.0254,0.3044
0.954,-0.0264,0.3039
0.9535,-0.0261,0.3039
0.9535,-0.0257,0.3039
0.9533,-0.0261,0.3039
0.953,-0.0264,0.3042
0.9538,-0.0266,0.3039
0.9547,-0.0276,0.3039
0.9552,-0.0281,0.3039
0.9557,-0.0288,0.3034
0.9557,-0.0298,0.3022
0.9562,-0.0303,0.302
0.9567,-0.0313,0.302
0.9567,-0.0318,0.302
0.9567,-0.032,0.302
0.9569,-0.0325,0.3022
0.9572,-0.0327,0.3017
0.9577,-0.0325,0.301
0.9577,-0.0327,0.301
0.9577,-0.033,0.301
0.9577,-0.033,0.301
0.9577,-0.0322,0.3003
0.9579,-0.0322,0.2995
0.9579,-0.0327,0.2998
0.9577,-0.0327,0.3003
0.9577,-0.0327,0.3
0.9584,-0.0327,0.2998
0.9579,-0.0322,0.3
0.9579,-0.0325,0.2998
0.9582,-0.0325,0.3007
0.9591,-0.0325,0.301
0.9594,-0.0332,0.3007
0.9594,-0.0335,0.3003
0.9594,-0.0332,0.3003
0.9591,-0.0335,0.3012
0.9587,-0.034,0.3025
0.9591,-0.0337,0.3037
0.9599,-0.0337,0.3037
0.9596,-0.034,0.3029
0.9594,-0.0335,0.3042
0.9582,-0.0337,0.3049
0.9567,-0.0337,0.3049
0.9562,-0.0337,0.3046
0.9557,-0.034,0.3039
0.9557,-0.0342,0.3044
0.9552,-0.0337,0.3054
0.9547,-0.0332,0.3059
0.954,-0.033,0.3061
0.9535,-0.0327,0.3059
0.953,-0.0332,0.3059
0.9526,-0.0332,0.3051
0.9528,-0.033,0.3049
0.953,-0.0325,0.3042
0.9521,-0.0332,0.3029
0.9516,-0.0337,0.3029
0.9523,-0.034,0.3037
0.9528,-0.034,0.3032
0.9533,-0.0335,0.3022
0.954,-0.0327,0.3025
0.9535,-0.0325,0.3022
0.954,-0.0318,0.3025
0.9545,-0.0318,0.3027
0.955,-0.0327,0.3032
0.955,-0.0332,0.3044
0.9552,-0.0332,0.3044
0.9545,-0.0332,0.3044
0.955,-0.0332,0.3051
0.956,-0.0327,0.3054
0.956,-0.033,0.3054
0.9557,-0.034,0.3054
0.9567,-0.0344,0.3061
0.9574,-0.0344,0.3064
0.9572,-0.0342,0.3061
0.956,-0.0335,0.3068
0.9552,-0.0335,0.3068
0.9555,-0.0337,0.3066
0.9555,-0.034,0.3066
0.955,-0.0337,0.3076
0.9557,-0.033,0.3078
0.9562,-0.0332,0.3078
0.9557,-0.0344,0.3078
0.9557,-0.0347,0.3076
0.9567,-0.0342,0.3081
0.9579,-0.0342,0.3081
0.9584,-0.0347,0.3073
0.9582,-0.0354,0.3073
0.9584,-0.0354,0.3076
0.9584,-0.0349,0.3073
0.9589,-0.0352,0.3078
0.9587,-0.0347,0.3083
0.9587,-0.0337,0.3076
0.9594,-0.0342,0.3076
0.9594,-0.0344,0.3071
0.9594,-0.0347,0.3059
0.9584,-0.034,0.3051
0.9577,-0.0337,0.3046
0.9574,-0.0332,0.3042
0.9577,-0.0327,0.3037
0.9569,-0.0322,0.3034
0.9562,-0.0318,0.3029
0.9552,-0.0318,0.3025
0.9535,-0.0313,0.3017
0.9526,-0.0308,0.3017
0.9526,-0.0305,0.3022
0.9516,-0.0303,0.3032
0.9504,-0.0303,0.3039
0.9499,-0.031,0.3034
0.9491,-0.031,0.3032
0.9484,-0.031,0.3034
0.9477,-0.031,0.3037
0.9477,-0.0308,0.3037
0.9477,-0.0303,0.3051
0.9477,-0.0303,0.3059
0.9479,-0.0303,0.3066
0.9491,-0.0303,0.3071
0.9494,-0.0308,0.3076
0.9484,-0.0313,0.3081
0.9482,-0.031,0.309
0.9489,-0.0313,0.309
0.9499,-0.0318,0.3095
0.9506,-0.032,0.31
0.9513,-0.032,0.3103
0.9521,-0.032,0.3108
0.9528,-0.0325,0.3117
0.9533,-0.0327,0.3127
0.9538,-0.0332,0.3122
0.9547,-0.0337,0.311
0.956,-0.0352,0.3105
0.9565,-0.0347,0.3088
0.9574,-0.033,0.3081
0.9584,-0.0335,0.3083
0.9594,-0.0347,0.3083
0.9601,-0.0359,0.3086
0.9611,-0.0364,0.3083
0.9628,-0.0374,0.3081
0.9645,-0.0374,0.3071
0.9648,-0.0369,0.3071
0.9645,-0.0371,0.3068
0.9662,-0.0379,0.3059
0.9672,-0.0381,0.3056
0.967,-0.0381,0.3056
0.9665,-0.0384,0.3054
0.9672,-0.0388,0.3054
0.9675,-0.0386,0.3059
0.9675,-0.0384,0.3059
0.9677,-0.0388,0.3054
0.9675,-0.0386,0.3051
0.9665,-0.0384,0.3049
0.9665,-0.0376,0.3046
0.966,-0.0376,0.3049
0.9648,-0.0376,0.3059
0.964,-0.0366,0.3061
0.9633,-0.0359,0.3054
0.9626,-0.0357,0.3051
0.9616,-0.0359,0.3061
0.9609,-0.0362,0.3056
0.9601,-0.0362,0.3051
0.9591,-0.0362,0.3049
0.9582,-0.0359,0.3046
0.9572,-0.0362,0.3044
0.9562,-0.0354,0.3056
0.955,-0.0347,0.3066
0.9543,-0.0342,0.3061
0.9538,-0.0337,0.3056
0.9535,-0.0332,0.3049
0.9523,-0.0325,0.3054
0.9511,-0.0325,0.3064
0.9506,-0.0327,0.3051
0.9504,-0.0325,0.3044
0.9501,-0.032,0.3054
0.9499,-0.0322,0.3059
0.9501,-0.0327,0.3051
0.9499,-0.0327,0.3054
0.9499,-0.0318,0.3059
0.9504,-0.0318,0.3051
0.9501,-0.032,0.3056
0.9501,-0.0325,0.3059
0.9501,-0.0327,0.3051
0.9499,-0.0327,0.3046
0.9504,-0.0327,0.3046
0.9508,-0.0332,0.3044
0.9513,-0.0342,0.3029
0.9504,-0.0347,0.3015
0.9494,-0.0352,0.3007
0.9496,-0.0354,0.3003
0.9501,-0.0362,0.2995
0.9501,-0.0362,0.2983
0.9499,-0.0354,0.2981
0.9506,-0.0362,0.2971
0.9513,-0.0359,0.2961
0.9516,-0.0359,0.2959
0.9523,-0.0369,0.2956
0.953,-0.0379,0.2944
0.954,-0.0374,0.2944
0.9552,-0.0369,0.2944
0.956,-0.0359,0.2937
0.9557,-0.0362,0.2927
0.956,-0.0364,0.2922
0.9572,-0.0366,0.2917
0.9582,-0.0369,0.2915
0.9587,-0.0366,0.2907
0.9591,-0.0362,0.2893
0.9591,-0.0362,0.2878
0.9589,-0.0357,0.2878
0.9584,-0.0352,0.288
0.9591,-0.0349,0.2878
0.9609,-0.0342,0.2873
0.9613,-0.0347,0.2866
0.9609,-0.0352,0.2858
0.9604,-0.0347,0.2863
0.9616,-0.0342,0.2861
0.9628,-0.0335,0.2853
0.9631,-0.0327,0.2844
0.9635,-0.0325,0.2844
0.965,-0.033,0.2844
0.9667,-0.0335,0.2841
0.967,-0.0332,0.2834
0.9682,-0.0332,0.2836
0.9687,-0.0332,0.2846
0.9699,-0.0325,0.2846
0.9714,-0.0315,0.2844
0.9719,-0.0313,0.2853
0.9721,-0.0313,0.2861
0.9719,-0.0318,0.2868
0.9719,-0.0322,0.2878
0.9726,-0.0325,0.2888
0.9731,-0.0322,0.2893
0.9723,-0.0313,0.29
0.9719,-0.0303,0.2915
0.9701,-0.0303,0.2929
0.9684,-0.031,0.2937
0.9675,-0.0325,0.2949
0.9675,-0.0332,0.2966
0.9677,-0.0327,0.2968
0.9672,-0.0322,0.2968
0.9667,-0.0322,0.2983
0.965,-0.0327,0.3005
0.9643,-0.0332,0.302
0.9638,-0.033,0.3027
0.9623,-0.0327,0.3029
0.9604,-0.0337,0.3037
0.9594,-0.0347,0.3054
0.9591,-0.0352,0.3064
0.9574,-0.0357,0.3068
0.9562,-0.0359,0.3071
0.9557,-0.0364,0.3078
0.9562,-0.0371,0.3078
0.9557,-0.0374,0.3086
0.9552,-0.0384,0.3098
0.955,-0.0396,0.3108
0.9547,-0.0391,0.3117
0.9545,-0.0384,0.3127
0.9545,-0.0388,0.3142
0.955,-0.0391,0.3149
0.955,-0.0391,0.3147
0.9567,-0.0396,0.3147
0.9579,-0.0403,0.3156
0.9572,-0.0408,0.3156
0.9567,-0.0406,0.3159
0.9577,-0.0406,0.3161
0.9584,-0.0403,0.3152
0.9579,-0.0406,0.3149
0.9579,-0.0398,0.3149
0.9577,-0.0398,0.3147
0.9574,-0.0393,0.3147
0.9574,-0.0393,0.3142
0.9579,-0.0388,0.3137
0.9582,-0.0381,0.313
0.9572,-0.0384,0.312
0.9565,-0.0391,0.311
0.9552,-0.0388,0.3098
0.9533,-0.0369,0.3061
0.953,-0.0362,0.3046
0.9516,-0.0362,0.3039
0.9504,-0.0352,0.3027
0.9501,-0.0342,0.3017
0.9489,-0.0337,0.3007
0.9482,-0.0337,0.2995
0.9479,-0.0342,0.2983
0.9474,-0.034,0.2973
0.9467,-0.0322,0.2963
0.9452,-0.0322,0.2956
0.9447,-0.0325,0.2951
0.945,-0.0318,0.2941
0.945,-0.0313,0.2937
0.9442,-0.0313,0.2934
0.9442,-0.031,0.2939
0.9445,-0.031,0.2946
0.945,-0.0308,0.2961
0.945,-0.0305,0.2973
0.945,-0.0303,0.2983
0.9457,-0.0305,0.2993
0.9472,-0.0308,0.3
0.9479,-0.0305,0.3017
0.9486,-0.0298,0.3037
0.9499,-0.0291,0.3051
0.9513,-0.0296,0.3064
0.9516,-0.031,0.3086
0.9526,-0.0313,0.31
0.9543,-0.031,0.3103
0.9555,-0.0303,0.3108
0.9565,-0.0298,0.312
0.9567,-0.0296,0.3125
0.9565,-0.0291,0.3117
0.9569,-0.0293,0.3105
0.9577,-0.0298,0.3105
0.9589,-0.0298,0.31
0.9601,-0.0296,0.3095
0.9606,-0.0288,0.3086
0.9604,-0.0291,0.3076
0.9596,-0.0296,0.3061
0.9596,-0.0293,0.3046
0.9606,-0.0296,0.3042
0.9613,-0.0293,0.3032
0.9621,-0.0291,0.3017
0.9623,-0.0291,0.301
0.9623,-0.03,0.301
0.9621,-0.031,0.3005
0.9613,-0.0308,0.2998
0.9613,-0.0305,0.2988
0.9613,-0.0305,0.2988
0.9613,-0.0315,0.2988
0.9611,-0.032,0.2981
0.9613,-0.0322,0.2978
0.9623,-0.0332,0.2978
0.9628,-0.0332,0.2978
0.9628,-0.0335,0.2971
0.9623,-0.0344,0.2968
0.9628,-0.0352,0.2963
0.9633,-0.0357,0.2963
0.9631,-0.0362,0.2966
0.9631,-0.0357,0.2961
0.9626,-0.0364,0.2961
0.9628,-0.0374,0.2968
0.9631,-0.0376,0.2963
0.9635,-0.0376,0.2959
0.9635,-0.0371,0.2961
0.9638,-0.0374,0.2959
0.9643,-0.0374,0.2951
0.9645,-0.0374,0.2944
0.964,-0.0384,0.2939
0.9638,-0.0381,0.2939
0.9635,-0.0371,0.2944
0.9635,-0.0359,0.2939
0.9628,-0.0354,0.2939
0.9621,-0.0349,0.2939
0.9616,-0.0352,0.2929
0.9613,-0.0354,0.2932
0.9613,-0.0354,0.2944
0.9616,-0.0349,0.2946
0.9618,-0.0352,0.2954
0.9606,-0.0347,0.2954
0.9594,-0.0347,0.2954
0.9594,-0.0357,0.2951
0.9594,-0.0362,0.2956
0.9589,-0.0366,0.2971
0.9584,-0.0362,0.2981
0.9572,-0.0354,0.2981
0.9567,-0.0354,0.2988
0.9572,-0.0357,0.3
0.9565,-0.0359,0.3007
0.9557,-0.0362,0.3005
0.9552,-0.0362,0.3003
0.9557,-0.0359,0.3012
0.9562,-0.0362,0.3027
0.9557,-0.0364,0.3034
0.955,-0.0364,0.3044
0.9543,-0.0364,0.3046
0.9538,-0.0369,0.3051
0.9547,-0.0374,0.3066
0.9555,-0.0371,0.3071
0.9552,-0.0371,0.3068
0.9547,-0.0366,0.3071
0.954,-0.0369,0.3086
0.9538,-0.0374,0.3098
0.9547,-0.0376,0.3103
0.9545,-0.0369,0.311
0.954,-0.0369,0.3122
0.953,-0.0376,0.3125
0.9523,-0.0384,0.312
0.9533,-0.0393,0.3117
0.9535,-0.0393,0.3117
0.953,-0.0381,0.3117
0.9533,-0.0381,0.3112
0.9535,-0.0384,0.3103
0.9535,-0.0384,0.3088
0.9538,-0.0386,0.3083
0.9545,-0.0381,0.3086
0.9557,-0.0371,0.3071
0.9567,-0.0369,0.3056
0.9569,-0.0369,0.3049
0.9577,-0.0369,0.3044
0.9579,-0.0369,0.3037
0.9577,-0.0364,0.3032
0.9584,-0.0359,0.3034
0.9596,-0.0366,0.3029
0.9609,-0.0366,0.3017
0.9616,-0.0362,0.3017
0.9628,-0.0362,0.3017
0.9643,-0.0364,0.3017
0.9648,-0.0366,0.3015
0.9653,-0.0369,0.3005
0.9665,-0.0371,0.3003
0.9667,-0.0364,0.3003
0.9657,-0.0359,0.3005
0.965,-0.0354,0.3012
0.9653,-0.0352,0.3007
0.9648,-0.0349,0.3
0.9643,-0.0349,0.2998
0.9631,-0.0344,0.2985
0.9613,-0.034,0.2976
0.9591,-0.034,0.2966
0.9577,-0.033,0.2959
0.9567,-0.0325,0.2959
0.9565,-0.0315,0.2961
0.9562,-0.0305,0.2954
0.9552,-0.0305,0.2949
0.9543,-0.0313,0.2941
0.9533,-0.031,0.2932
0.9523,-0.0305,0.2939
0.9523,-0.0303,0.2954
0.9516,-0.031,0.2963
0.9508,-0.0315,0.2968
0.9504,-0.0305,0.2976
0.9504,-0.03,0.2983
0.9506,-0.0296,0.2998
0.9511,-0.0293,0.3007
0.9506,-0.03,0.3017
0.9501,-0.0303,0.3029
0.9501,-0.0305,0.3042
0.9511,-0.031,0.3049
0.9513,-0.0315,0.3056
0.9516,-0.0313,0.3061
0.9523,-0.0313,0.3068
0.953,-0.0325,0.3071
0.9543,-0.0337,0.3073
0.955,-0.0342,0.3076
0.9552,-0.034,0.3086
0.955,-0.034,0.3086
0.955,-0.0342,0.3083
0.9552,-0.0337,0.3073
0.9562,-0.0335,0.3059
0.9565,-0.0335,0.3049
0.9567,-0.0342,0.3042
0.9574,-0.0349,0.3044
0.9574,-0.0352,0.3039
0.9572,-0.0354,0.3027
0.9574,-0.0344,0.3015
0.9577,-0.034,0.3015
0.9584,-0.0344,0.3015
0.9591,-0.0347,0.3007
0.9594,-0.0342,0.301
0.9594,-0.0342,0.3003
0.9596,-0.0344,0.2993
0.9594,-0.0344,0.2988
0.9587,-0.034,0.2988
0.9594,-0.0335,0.3
0.9596,-0.0337,0.2998
0.9594,-0.0337,0.2988
0.9594,-0.0335,0.2983
0.9594,-0.0332,0.299
0.9594,-0.0335,0.2993
0.9596,-0.0342,0.2995
0.9599,-0.0347,0.3
0.9594,-0.0347,0.3
0.9584,-0.0344,0.2995
0.9579,-0.0342,0.2988
0.9577,-0.0344,0.299
0.9567,-0.0344,0.2993
0.9567,-0.034,0.3
0.9567,-0.0335,0.3003
0.956,-0.0337,0.3003
0.9557,-0.0344,0.3012
0.955,-0.0347,0.3015
0.954,-0.034,0.3015
0.9533,-0.034,0.3022
0.9543,-0.034,0.3032
0.9547,-0.034,0.3037
0.954,-0.0347,0.3046
0.9533,-0.0347,0.3061
0.953,-0.0352,0.3064
0.953,-0.0357,0.3064
0.953,-0.0364,0.3068
0.9528,-0.0371,0.3066
0.9523,-0.0374,0.3076
0.9523,-0.0371,0.3083
0.9523,-0.0366,0.31
0.9521,-0.0371,0.3112
0.9513,-0.0374,0.312
0.9511,-0.0369,0.3122
0.9516,-0.0371,0.3127
0.9528,-0.0384,0.3137
0.953,-0.0384,0.3142
0.953,-0.0379,0.3144
0.9528,-0.0374,0.3144
0.9528,-0.0369,0.3142
0.9533,-0.0374,0.3139
0.9533,-0.0369,0.3147
0.9528,-0.0371,0.3152
0.9528,-0.0374,0.3149
0.9528,-0.0366,0.3149
0.9533,-0.0364,0.3149
0.9528,-0.0362,0.3152
0.9518,-0.0369,0.3154
0.9523,-0.0366,0.3147
0.953,-0.0359,0.3142
0.9526,-0.0362,0.3142
0.9518,-0.0369,0.3144
0.9521,-0.0362,0.3137
0.9528,-0.0357,0.3125
0.9526,-0.0359,0.313
0.953,-0.0359,0.3139
0.9533,-0.0349,0.3149
0.953,-0.0342,0.3156
0.9523,-0.0349,0.3152
0.9523,-0.0357,0.3149
0.9523,-0.0352,0.3142
0.953,-0.0347,0.3137
0.9538,-0.0344,0.3144
0.9533,-0.034,0.3142
0.9533,-0.0332,0.3132
0.9523,-0.0335,0.313
0.9518,-0.0335,0.313
0.9521,-0.0342,0.3139
0.953,-0.034,0.3132
0.9533,-0.0335,0.3122
0.9533,-0.0335,0.3115
0.9538,-0.0337,0.311
0.9543,-0.0335,0.3105
0.9535,-0.034,0.3093
0.9535,-0.0335,0.3078
0.954,-0.0325,0.3073
0.9538,-0.0327,0.3081
0.953,-0.033,0.3078
0.953,-0.0327,0.3081
0.9533,-0.033,0.3086
0.9538,-0.0335,0.3081
0.954,-0.0327,0.3078
0.9535,-0.032,0.3076
0.9528,-0.0322,0.3073
0.9523,-0.032,0.3059
0.9523,-0.0315,0.3056
0.9523,-0.031,0.3061
0.9523,-0.0308,0.3056
0.9518,-0.031,0.3054
0.9513,-0.0308,0.3054
0.9508,-0.0305,0.3056
0.9508,-0.0308,0.3066
0.9508,-0.031,0.3073
0.9513,-0.03,0.3081
0.953,-0.0288,0.3078
0.9543,-0.0283,0.3073
0.9552,-0.0283,0.3066
0.9565,-0.0281,0.3061
0.9565,-0.0281,0.3064
0.9562,-0.0291,0.3068
0.9565,-0.0298,0.3073
0.9565,-0.0308,0.3078
0.9562,-0.0322,0.3088
0.9569,-0.033,0.3095
0.9569,-0.0332,0.3095
0.9572,-0.0337,0.3086
0.9579,-0.0337,0.3071
0.9582,-0.034,0.3059
0.9587,-0.034,0.3054
0.9582,-0.0342,0.3042
0.9579,-0.0335,0.3025
0.9584,-0.0325,0.301
0.9584,-0.0325,0.3005
0.9587,-0.0325,0.3
0.9587,-0.0318,0.2993
0.9587,-0.031,0.2983
0.9587,-0.0315,0.2976
0.9591,-0.0327,0.2978
0.9594,-0.033,0.2978
0.9599,-0.0332,0.2973
0.9599,-0.0322,0.2973
0.9599,-0.032,0.2983
0.9599,-0.0325,0.3
0.9599,-0.0327,0.3012
0.9604,-0.0325,0.3012
0.9613,-0.0315,0.301
0.9623,-0.0313,0.3017
0.9621,-0.0313,0.3022
0.9618,-0.031,0.3029
0.9623,-0.031,0.3044
0.9631,-0.031,0.3056
0.9631,-0.031,0.3068
0.9623,-0.031,0.3081
0.9618,-0.0308,0.3088
0.9613,-0.0305,0.31
0.9613,-0.03,0.3117
0.9618,-0.0296,0.313
0.9618,-0.0291,0.313
0.9621,-0.0283,0.3132
0.9628,-0.0279,0.3142
0.9616,-0.0274,0.3144
0.9606,-0.0281,0.3139
0.9611,-0.0283,0.3132
0.9611,-0.0288,0.3132
0.9604,-0.0293,0.3134
0.9591,-0.0298,0.3132
0.9567,-0.0298,0.3125
0.9562,-0.0291,0.3112
0.956,-0.0291,0.3103
0.9547,-0.03,0.3095
0.9535,-0.031,0.3095
0.953,-0.0308,0.3095
0.9518,-0.0308,0.3095
0.9508,-0.0305,0.3093
0.9499,-0.0318,0.3081
0.9489,-0.0327,0.3078
0.9482,-0.034,0.3081
0.9477,-0.0352,0.3081
0.9467,-0.0359,0.3088
0.9455,-0.0366,0.3088
0.9457,-0.0371,0.3083
0.946,-0.0386,0.3081
0.945,-0.0401,0.3073
0.9447,-0.0406,0.3076
0.946,-0.041,0.3071
0.9472,-0.042,0.3059
0.9474,-0.0425,0.3051
0.9474,-0.0425,0.3051
0.9479,-0.0432,0.3049
0.9494,-0.0437,0.3039
0.9513,-0.0435,0.3022
0.9521,-0.0428,0.3015
0.9526,-0.0428,0.3017
0.9535,-0.0432,0.3022
0.9543,-0.0432,0.3017
0.9547,-0.0428,0.3003
0.955,-0.042,0.2995
0.9562,-0.0413,0.2998
0.9565,-0.0401,0.2995
0.9577,-0.0393,0.3
0.9582,-0.0391,0.3007
0.9577,-0.0384,0.3003
0.9582,-0.0374,0.2998
0.9577,-0.0359,0.3
0.9577,-0.0342,0.3007
0.9584,-0.033,0.3012
0.9584,-0.0318,0.3017
0.9577,-0.0303,0.3015
0.9577,-0.0293,0.3017
0.9574,-0.0288,0.3032
0.9565,-0.0281,0.3046
0.9562,-0.0276,0.3042
0.9565,-0.0269,0.3042
0.956,-0.0264,0.3051
0.955,-0.0254,0.3059
0.954,-0.0249,0.3064
0.9538,-0.0249,0.3061
0.9538,-0.0244,0.3068
0.953,-0.0239,0.3078
0.9518,-0.0237,0.3078
0.9516,-0.0237,0.3073
0.9518,-0.0235,0.3071
0.9508,-0.0239,0.3076
0.9501,-0.0244,0.3076
0.9508,-0.0242,0.3081
0.9511,-0.0244,0.3081
0.9516,-0.0252,0.3081
0.9528,-0.0254,0.309
0.9535,-0.0254,0.309
0.9533,-0.0261,0.3093
0.954,-0.0269,0.3108
0.9555,-0.0276,0.312
0.956,-0.0286,0.3122
0.9567,-0.0298,0.3115
0.9579,-0.03,0.3115
0.9584,-0.0305,0.312
0.9594,-0.0318,0.3127
0.9601,-0.0327,0.313
0.9609,-0.033,0.3125
0.9606,-0.0332,0.313
0.9609,-0.0337,0.3132
0.9609,-0.0337,0.3125
0.9613,-0.0352,0.3127
0.9621,-0.0359,0.3122
0.9613,-0.0359,0.3115
0.9616,-0.0359,0.311
0.9618,-0.0364,0.3108
0.9616,-0.0371,0.3108
0.9606,-0.0376,0.31
0.9599,-0.0376,0.3088
0.9599,-0.0379,0.3081
0.9609,-0.0381,0.3078
0.9613,-0.0381,0.3086
0.9604,-0.0381,0.3081
0.9596,-0.0384,0.3071
0.9594,-0.0384,0.3071
0.9594,-0.0388,0.3076
0.9589,-0.0386,0.3076
0.9589,-0.0374,0.3078
0.9594,-0.0371,0.3086
0.9594,-0.0374,0.309
0.9599,-0.0374,0.3098
0.9591,-0.0376,0.3095
0.9589,-0.0374,0.3088
0.9584,-0.0366,0.3088
0.9567,-0.0366,0.3095
0.9562,-0.0366,0.3103
0.9569,-0.0362,0.3103
0.9572,-0.0354,0.3093
0.9557,-0.0354,0.3081
0.9538,-0.0362,0.3068
0.953,-0.0354,0.3061
0.9528,-0.034,0.3066
0.9521,-0.0337,0.3073
0.9516,-0.0332,0.3066
0.9511,-0.0332,0.3051
0.9501,-0.0327,0.3054
0.9489,-0.0335,0.3054
0.9479,-0.0342,0.3042
0.9482,-0.0344,0.3029
0.9482,-0.034,0.3034
0.9477,-0.034,0.3049
0.9479,-0.0347,0.3059
0.9486,-0.0349,0.3056
0.9489,-0.0344,0.3044
0.9486,-0.0347,0.3039
0.9486,-0.0364,0.3046
0.9484,-0.0366,0.3054
0.9491,-0.0371,0.3059
0.9508,-0.0384,0.3061
0.9516,-0.0386,0.3068
0.9521,-0.0386,0.3076
0.9528,-0.0384,0.3066
0.954,-0.0386,0.3056
0.954,-0.0393,0.3061
0.9538,-0.0393,0.3068
0.9543,-0.0396,0.3071
0.955,-0.0396,0.3068
0.956,-0.0396,0.3071
0.9572,-0.0398,0.3078
0.9577,-0.0398,0.3078
0.9582,-0.0401,0.3081
0.9577,-0.0398,0.3081
0.9579,-0.0391,0.3081
0.9577,-0.0386,0.3083
0.9577,-0.0384,0.3088
0.9582,-0.0381,0.31
0.9582,-0.0376,0.3098
0.9577,-0.0376,0.3098
0.9582,-0.0379,0.31
0.9587,-0.0369,0.31
0.9582,-0.0354,0.3108
0.9579,-0.0349,0.311
0.9574,-0.0349,0.3105
0.9569,-0.0352,0.31
0.956,-0.0349,0.3103
0.9565,-0.034,0.3108
0.9572,-0.0344,0.3108
0.9557,-0.0342,0.3108
0.9545,-0.0332,0.311
0.9552,-0.0332,0.3108
0.9555,-0.0325,0.3112
0.9557,-0.0313,0.3117
0.9547,-0.0305,0.3115
0.9538,-0.0308,0.3112
0.953,-0.0308,0.311
0.953,-0.031,0.3103
0.9533,-0.0313,0.3095
0.9538,-0.0313,0.3083
0.9535,-0.0318,0.3078
0.9528,-0.0318,0.3083
0.9523,-0.0305,0.3086
0.953,-0.0303,0.3088
0.9533,-0.0308,0.3086
0.953,-0.031,0.3086
0.9533,-0.0308,0.3083
0.9533,-0.0303,0.3081
0.9528,-0.0305,0.3081
0.9528,-0.031,0.3083
0.9535,-0.031,0.3083
0.954,-0.0313,0.3081
0.9547,-0.0308,0.3081
0.9552,-0.03,0.3078
0.9555,-0.0305,0.3086
0.956,-0.0308,0.3088
0.956,-0.031,0.3086
0.956,-0.0313,0.3081
0.9557,-0.0318,0.3081
0.9562,-0.0318,0.309
0.9565,-0.0315,0.309
0.9569,-0.0313,0.3093
0.9572,-0.0315,0.3095
0.9567,-0.0313,0.31
0.9569,-0.031,0.31
0.9565,-0.0303,0.3095
0.9557,-0.0303,0.3095
0.955,-0.0305,0.3095
0.9552,-0.031,0.309
0.9552,-0.0318,0.3095
0.9555,-0.0313,0.3093
0.955,-0.0308,0.3083
0.9545,-0.0305,0.3081
0.956,-0.0308,0.3076
0.956,-0.0308,0.3078
0.9547,-0.031,0.3081
0.9545,-0.031,0.3081
0.9543,-0.0303,0.3076
0.954,-0.0293,0.3071
0.9535,-0.0288,0.3071
0.9533,-0.0293,0.3068
0.954,-0.0296,0.3076
0.953,-0.0291,0.3076
0.9526,-0.0291,0.3068
0.9523,-0.0288,0.3066
0.9518,-0.0283,0.3061
0.9523,-0.0283,0.3054
0.9526,-0.0288,0.3044
0.9528,-0.0291,0.3034
0.9526,-0.0291,0.3029
0.9523,-0.0288,0.3032
0.9521,-0.0293,0.3027
0.9521,-0.0296,0.302
0.953,-0.0293,0.3007
0.9533,-0.0293,0.3007
0.954,-0.0296,0.3015
0.9545,-0.0293,0.302
0.954,-0.0293,0.3017
0.9543,-0.0293,0.3012
0.9557,-0.0288,0.3015
0.9565,-0.0283,0.3017
0.9572,-0.0286,0.3025
0.9579,-0.0291,0.3034
0.9589,-0.0291,0.3044
0.9604,-0.0291,0.3044
0.9609,-0.0296,0.3039
0.9613,-0.0298,0.3044
0.9623,-0.0305,0.3044
0.9635,-0.0305,0.3056
